treat,response_wave_ID,exp_1_prompt,meta_OS,age_65,educ,PID,crt,gender,age,polknow,internet_usage,ambivalent_sexism,post_favor_Sanders
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0,Female,35,0.5714285714285714,7,4.6,61
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0,Male,40,0.5714285714285714,7,2.8,50
text,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0,Male,43,0.7142857142857143,7,3.6,38
video,SV_0xlqWlOfO10wuYl,info,mobile,<=65,Postgraduate,Republican,0,Male,40,1,6,3.6,9
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Female,33,0.7142857142857143,7,4.4,17
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Republican,0.3333333333333333,Male,40,1,7,3.8,57
video,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Republican,0.6666666666666666,Male,69,1,6,3,0
skit,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0,Female,61,1,7,2.6,0
ad,SV_0xlqWlOfO10wuYl,info,desktop,>65,Postgraduate,Republican,0.3333333333333333,Male,64,1,6,3.8,2
ad,SV_0xlqWlOfO10wuYl,info,desktop,>65,Postgraduate,Republican,0.3333333333333333,Female,70,1,6,3.6,32
ad,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,40,0.5714285714285714,6,4.6,68
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,35,0.42857142857142855,6,4,45
control,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Republican,0.6666666666666666,Male,48,1,7,2,37
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Republican,0.3333333333333333,Female,40,0.5714285714285714,7,2.4,0
text,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.3333333333333333,Male,54,1,7,2.8,50
ad,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0.6666666666666666,Female,58,1,6,3,50
ad,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Independent,0.3333333333333333,Female,39,1,7,1.4,59
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Female,35,0.2857142857142857,7,2.6,82
skit,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,40,0.7142857142857143,6,3.2,87
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0,Male,47,1,7,3.4,50
video,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Democrat,0,Female,63,0.5714285714285714,7,2.2,70
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0,Male,50,0.42857142857142855,7,4.6,84
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0,Male,29,1,7,1.6,74
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,35,0.8571428571428571,7,4.4,73
ad,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Democrat,0.3333333333333333,Male,18,0.14285714285714285,7,3,26
video,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Republican,0,Male,37,1,6,1.6,79
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0.3333333333333333,Female,45,0.7142857142857143,7,3,52
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,35,0.8571428571428571,6,3.4,70
video,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0,Male,35,0.8571428571428571,7,3.6,58
text,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Democrat,0.3333333333333333,Female,57,0.5714285714285714,7,3,50
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Republican,0,Female,37,0.42857142857142855,6,3.2,59
ad,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0,Male,42,0.14285714285714285,7,3.8,60
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Republican,0.6666666666666666,Female,24,0.2857142857142857,7,2.6,14
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,40,0.8571428571428571,6,3.8,42
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0,Male,40,0.42857142857142855,6,4.4,38
ad,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0.6666666666666666,Female,19,0.8571428571428571,7,1.4,41
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Republican,0.6666666666666666,Female,33,0.5714285714285714,4,3.6,50
text,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Democrat,0.3333333333333333,Female,63,0.8571428571428571,6,1.8,85
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Republican,0.6666666666666666,Female,56,1,6,3.6,0
text,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0.6666666666666666,Male,44,0.8571428571428571,6,2.6,78
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0,Male,40,0.8571428571428571,6,3,60
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0.6666666666666666,Male,45,0.7142857142857143,6,1.8,0
audio,SV_0xlqWlOfO10wuYl,control,desktop,>65,Postgraduate,Democrat,0.6666666666666666,Female,67,1,6,2.2,82
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Democrat,0.3333333333333333,Male,76,0.42857142857142855,7,4.2,50
skit,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Republican,0.6666666666666666,Male,43,1,7,4,0
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Male,34,1,7,2.4,61
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Independent,0.3333333333333333,Male,41,0.8571428571428571,6,3.8,0
skit,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Democrat,0.6666666666666666,Female,67,1,7,2.8,8
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.3333333333333333,Male,35,0.8571428571428571,6,4,62
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0,Female,35,0.7142857142857143,7,3.4,38
audio,SV_0xlqWlOfO10wuYl,info,mobile,>65,Postgraduate,Democrat,0.3333333333333333,Female,69,0.8571428571428571,5,4,31
video,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Republican,0,Male,69,0.8571428571428571,6,2,0
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Republican,0.3333333333333333,Female,66,1,6,3.4,0
audio,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Independent,0,Female,67,0.42857142857142855,7,2.2,48
skit,SV_0xlqWlOfO10wuYl,control,mobile,<=65,High school,Republican,0.3333333333333333,Male,31,0.7142857142857143,7,2.4,50
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,35,1,7,3.2,64
ad,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Male,40,0.8571428571428571,7,4.6,63
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0,Male,35,0.8571428571428571,7,2.8,91
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Independent,1,Male,47,0.7142857142857143,6,1.4,52
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Democrat,0.3333333333333333,Female,73,0.8571428571428571,6,1.8,74
video,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Democrat,0,Female,72,1,7,3.4,72
control,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0,Male,42,0.7142857142857143,7,3.4,6
text,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0.6666666666666666,Male,68,0.8571428571428571,5,3.6,0
skit,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Republican,0,Male,26,0.8571428571428571,7,5,100
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Republican,0.3333333333333333,Male,23,0.8571428571428571,7,4.4,31
control,SV_0xlqWlOfO10wuYl,info,desktop,>65,Postgraduate,Democrat,0.3333333333333333,Male,80,1,7,3.2,76
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Republican,0.6666666666666666,Female,66,1,6,3.8,11
video,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Democrat,0.3333333333333333,Female,81,0.8571428571428571,6,3,100
skit,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Democrat,0.3333333333333333,Female,80,1,7,3,100
ad,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0.3333333333333333,Female,69,0.7142857142857143,7,2,93
video,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Republican,0.3333333333333333,Female,76,0.8571428571428571,6,3.2,84
skit,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Independent,0.3333333333333333,Female,71,1,5,3.2,18
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Republican,0.3333333333333333,Female,78,1,7,3,0
control,SV_0xlqWlOfO10wuYl,info,desktop,<=65,Postgraduate,Republican,0,Female,34,0.7142857142857143,7,2.2,39
text,SV_0xlqWlOfO10wuYl,control,mobile,<=65,Postgraduate,Republican,0.3333333333333333,Female,37,0.7142857142857143,7,4.8,80
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Male,43,1,6,3.6,79
audio,SV_0xlqWlOfO10wuYl,info,mobile,<=65,Postgraduate,Republican,0.3333333333333333,Male,45,0.5714285714285714,7,4,77
audio,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Republican,0.3333333333333333,Male,65,0.8571428571428571,6,2.8,20
skit,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Independent,0.3333333333333333,Female,72,0.42857142857142855,5,3,0
skit,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Republican,0.6666666666666666,Male,71,1,7,2.8,22
control,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0.3333333333333333,Male,58,1,6,3.4,91
control,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Independent,0.6666666666666666,Male,69,1,7,3.8,31
skit,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0.3333333333333333,Female,72,0.8571428571428571,7,2.6,98
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Independent,0.3333333333333333,Female,23,1,6,2,50
audio,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Independent,0.3333333333333333,Male,68,0.42857142857142855,7,3.2,40
audio,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Democrat,0,Female,72,1,6,1.6,88
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Republican,0,Female,58,0.5714285714285714,6,2.2,44
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.6666666666666666,Male,54,1,6,2.6,64
video,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0.3333333333333333,Male,58,1,7,1.6,70
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Republican,0,Female,46,0.42857142857142855,7,3,0
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.3333333333333333,Male,31,0.7142857142857143,7,3.8,73
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Republican,0,Female,73,0.5714285714285714,6,2.2,0
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0,Female,58,0.7142857142857143,7,2.2,50
skit,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0.6666666666666666,Male,65,1,6,2.8,76
skit,SV_0xlqWlOfO10wuYl,info,desktop,>65,Postgraduate,Republican,0,Male,75,1,7,3.2,1
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0,Male,29,0.5714285714285714,7,5,29
audio,SV_0xlqWlOfO10wuYl,control,desktop,>65,Postgraduate,Republican,0.6666666666666666,Male,70,1,7,2.6,0
skit,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Republican,0,Female,78,1,6,3.8,0
skit,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Democrat,0.3333333333333333,Female,78,1,7,2.8,92
skit,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Independent,0,Female,56,1,6,1.8,50
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,Postgraduate,Democrat,0.3333333333333333,Male,44,1,6,4.6,81
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Independent,0,Female,77,0.5714285714285714,7,2.6,50
skit,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Republican,0,Female,70,0.7142857142857143,6,3.4,0
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.3333333333333333,Male,27,0.5714285714285714,7,2.2,69
video,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Independent,0.3333333333333333,Female,43,0.42857142857142855,6,3,21
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Independent,0,Female,38,0.14285714285714285,7,2.8,22
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Democrat,0.3333333333333333,Male,61,1,7,1.8,90
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Democrat,0,Female,71,0.7142857142857143,6,1.6,64
control,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0.3333333333333333,Female,68,1,6,2.8,0
audio,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0.3333333333333333,Male,30,0.8571428571428571,6,3.4,36
video,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Democrat,0.3333333333333333,Male,37,0.7142857142857143,7,4.6,100
control,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Democrat,0,Female,41,1,7,1.6,3
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,Postgraduate,Republican,0.3333333333333333,Male,75,1,7,3.8,0
video,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Democrat,0.3333333333333333,Female,18,0.7142857142857143,7,2.2,60
text,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Democrat,0.3333333333333333,Female,30,0.42857142857142855,6,3.6,73
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0,Male,60,0.7142857142857143,6,3.6,0
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Democrat,0.3333333333333333,Female,30,0.7142857142857143,7,1,70
control,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Democrat,0,Female,60,1,6,2.4,59
skit,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Democrat,0.3333333333333333,Male,65,1,7,2.8,100
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Independent,0.6666666666666666,Male,22,0.5714285714285714,6,3.4,4
skit,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Democrat,0.3333333333333333,Male,48,1,6,2.8,77
control,SV_0xlqWlOfO10wuYl,control,desktop,>65,High school,Republican,0.6666666666666666,Female,65,1,6,2.4,80
ad,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Democrat,0.3333333333333333,Female,75,1,6,2.6,0
control,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Democrat,0,Female,69,1,6,2.2,49
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Independent,1,Female,27,1,7,5,0
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Republican,0.3333333333333333,Female,42,1,7,3.6,15
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Republican,0,Female,64,0.42857142857142855,6,2.4,40
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Republican,0,Male,59,1,5,3.4,6
skit,SV_0xlqWlOfO10wuYl,info,desktop,>65,High school,Democrat,0.3333333333333333,Female,77,0.7142857142857143,6,3,85
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,High school,Independent,0.3333333333333333,Female,46,0.8571428571428571,6,3.4,75
skit,SV_0xlqWlOfO10wuYl,info,desktop,<=65,College,Republican,0.3333333333333333,Female,32,0.7142857142857143,7,2.6,34
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.3333333333333333,Female,33,0.7142857142857143,7,3,35
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Republican,0,Male,50,1,7,2.2,0
audio,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Democrat,0.3333333333333333,Male,19,0.7142857142857143,7,1.6,75
video,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0,Female,74,0.8571428571428571,6,2.6,37
video,SV_0xlqWlOfO10wuYl,control,desktop,<=65,High school,Independent,0.3333333333333333,Female,51,0.2857142857142857,6,2.4,50
text,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0.3333333333333333,Male,26,1,7,3.2,61
text,SV_0xlqWlOfO10wuYl,control,desktop,>65,College,Republican,0,Female,77,0.2857142857142857,6,3.4,100
text,SV_0xlqWlOfO10wuYl,control,desktop,>65,Postgraduate,Democrat,0.3333333333333333,Female,66,1,6,2.4,100
text,SV_0xlqWlOfO10wuYl,info,desktop,>65,College,Independent,0,Female,76,1,5,3,51
ad,SV_0xlqWlOfO10wuYl,control,desktop,<=65,College,Democrat,0,Female,53,0.42857142857142855,7,2.4,79
